datetime,open,high,low,close,volume
2026-02-26 13:40:00,185.89,186.0,185.58,185.6199,2073458
2026-02-26 13:45:00,185.63,185.8703,185.04,185.1797,2580327
2026-02-26 13:50:00,185.18,185.185,184.82,185.1256,2264139
2026-02-26 13:55:00,185.12,185.43,185.05,185.22,2225703
2026-02-26 14:00:00,185.22,186.07,185.13,185.9463,2244863
2026-02-26 14:05:00,185.95,186.54,185.925,186.52,3755689
2026-02-26 14:10:00,186.535,186.7,185.965,186.15,2859670
2026-02-26 14:15:00,186.145,186.41,185.87,185.875,2437460
2026-02-26 14:20:00,185.88,185.89,185.44,185.445,2197138
2026-02-26 14:25:00,185.44,185.625,185.25,185.2999,2374174
2026-02-26 14:30:00,185.295,185.65,185.29,185.4565,2012190
2026-02-26 14:35:00,185.4585,185.52,184.945,185.0397,2749726
2026-02-26 14:40:00,185.035,185.43,185.01,185.29,1950498
2026-02-26 14:45:00,185.285,185.7197,185.25,185.305,2290418
2026-02-26 14:50:00,185.3,185.53,185.07,185.4671,2052136
2026-02-26 14:55:00,185.47,185.82,185.4,185.4,2368399
2026-02-26 15:00:00,185.39,185.46,185.09,185.24,2528649
2026-02-26 15:05:00,185.24,185.405,184.9,184.91,2492036
2026-02-26 15:10:00,184.925,185.03,184.34,184.38,3516018
2026-02-26 15:15:00,184.375,184.89,184.315,184.84,3781110
2026-02-26 15:20:00,184.84,184.97,184.66,184.9601,2362626
2026-02-26 15:25:00,184.965,185.2,184.57,184.6899,3059848
2026-02-26 15:30:00,184.68,185.275,184.63,185.19,3607660
2026-02-26 15:35:00,185.21,185.55,185.055,185.5,2665313
2026-02-26 15:40:00,185.495,185.5,184.54,184.865,4637686
2026-02-26 15:45:00,184.87,184.98,184.34,184.657,3925188
2026-02-26 15:50:00,184.67,185.2,184.64,184.91,5423946
2026-02-26 15:55:00,184.9,185.05,184.565,184.87,7452880
2026-02-26 16:00:00,184.8885,187.1435,184.7,184.85,48469909
2026-02-26 16:05:00,184.87,185.455,184.5,184.71,396589
2026-02-26 16:10:00,184.72,186.466,184.55,184.635,124932
2026-02-26 16:15:00,184.66,184.89,184.61,184.71,82948
2026-02-26 16:20:00,184.89,185.13,184.7,184.92,188086
2026-02-26 16:25:00,184.92,185.225,184.86,185.03,2409947
2026-02-26 16:30:00,185.0104,185.13,184.95,185.06,104838
2026-02-26 16:35:00,185.04,185.1,184.89,185.02,88476
2026-02-26 16:40:00,185.0,185.09,184.92,184.99,67690
2026-02-26 16:45:00,185.0,185.1,184.92,185.0992,54614
2026-02-26 16:50:00,185.1,185.4,184.89,185.27,192423
2026-02-26 16:55:00,185.27,185.4,185.15,185.25,105713
2026-02-26 17:00:00,185.3,185.47,185.16,185.28,106741
2026-02-26 17:05:00,185.29,185.56,184.89,185.555,126505
2026-02-26 17:10:00,185.56,185.57,185.36,185.449,87596
2026-02-26 17:15:00,185.45,185.59,185.44,185.53,69901
2026-02-26 17:20:00,185.55,185.73,184.89,185.59,256537
2026-02-26 17:25:00,185.6,185.6,185.33,185.33,47326
2026-02-26 17:30:00,185.35,185.4,185.12,185.19,81783
2026-02-26 17:35:00,185.19,185.28,185.07,185.18,51817
2026-02-26 17:40:00,185.1793,196.4976,172.9015,185.04,82930
2026-02-26 17:45:00,185.03,196.4976,172.922,184.92,129263
2026-02-26 17:50:00,195.9818,195.9818,177.1962,185.0,68705
2026-02-26 17:55:00,185.0,185.2,184.95,185.18,65697
2026-02-26 18:00:00,185.17,185.28,184.93,184.99,87306
2026-02-26 18:05:00,185.0,185.04,184.81,184.975,169416
2026-02-26 18:10:00,185.0,185.28,184.95,184.99,98036
2026-02-26 18:15:00,184.95,185.23,184.31,184.97,272741
2026-02-26 18:20:00,184.97,185.1,184.61,185.04,106642
2026-02-26 18:25:00,185.0382,185.23,184.96,185.18,96869
2026-02-26 18:30:00,185.18,185.19,184.97,185.0201,47494
2026-02-26 18:35:00,185.03,185.04,184.85,184.97,57884
2026-02-26 18:40:00,184.98,185.16,184.89,185.13,68979
2026-02-26 18:45:00,185.1202,185.14,184.91,184.99,37320
2026-02-26 18:50:00,184.98,185.13,184.93,185.13,38463
2026-02-26 18:55:00,185.12,185.18,185.0,185.16,48280
2026-02-26 19:00:00,185.15,185.16,185.03,185.04,48177
2026-02-26 19:05:00,185.05,185.18,185.04,185.14,48187
2026-02-26 19:10:00,185.15,185.23,185.1,185.18,45287
2026-02-26 19:15:00,185.18,185.2,185.12,185.18,34446
2026-02-26 19:20:00,185.18,185.27,185.14,185.1501,56142
2026-02-26 19:25:00,185.17,185.19,185.01,185.05,36953
2026-02-26 19:30:00,185.03,185.15,185.0,185.01,43744
2026-02-26 19:35:00,185.02,185.05,184.9,184.9404,59951
2026-02-26 19:40:00,184.97,185.0,184.86,184.8778,65730
2026-02-26 19:45:00,184.86,185.05,184.8,185.05,54886
2026-02-26 19:50:00,185.02,185.05,184.95,185.0015,46604
2026-02-26 19:55:00,185.01,185.05,184.9,184.96,94897
2026-02-27 04:00:00,186.27,186.5,185.95,186.28,49216
2026-02-27 04:05:00,186.28,186.53,186.28,186.33,27986
2026-02-27 04:10:00,186.34,186.5,186.31,186.34,22030
2026-02-27 04:15:00,186.34,186.57,186.325,186.54,18121
2026-02-27 04:20:00,186.55,186.65,186.26,186.3,30409
2026-02-27 04:25:00,186.31,186.49,186.25,186.43,16852
2026-02-27 04:30:00,186.43,186.55,186.34,186.51,19989
2026-02-27 04:35:00,186.515,186.59,186.24,186.31,26008
2026-02-27 04:40:00,186.31,186.35,186.085,186.15,27438
2026-02-27 04:45:00,186.15,186.15,185.85,185.945,44396
