ticker,timestamp,time_bucket,signal_type,entry,stop,risk,atr,volume_ratio,confidence,outcome,peak_r,actual_r,peak_price,bars_to_peak,time_to_peak_min,bars_to_exit,stopped_out
QQQ,2026-01-06 15:53:00,CLOSE (15:00-16:00),SELL,620.62,621.11,0.49,0.33,2.14,80,REVERSAL,0.88,0.44,620.19,1,1,1,False
QQQ,2026-01-07 10:13:00,MORNING (9:45-10:30),BUY,622.28,622.15,0.13,0.08,3.21,100,STOP_OUT,0.0,-1.0,622.28,0,0,0,True
QQQ,2026-01-07 10:17:00,MORNING (9:45-10:30),SELL,622.06,622.17,0.11,0.08,4.96,97,REVERSAL,0.55,0.27,622.0,0,0,0,False
QQQ,2026-01-07 10:27:00,MORNING (9:45-10:30),SELL,621.69,621.82,0.13,0.08,2.21,75,REVERSAL,0.62,0.31,621.61,2,2,2,False
QQQ,2026-01-07 10:32:00,MIDDAY (10:30-15:00),SELL,621.54,621.66,0.12,0.08,4.2,100,STOP_OUT,0.0,-1.0,621.54,0,0,0,True
QQQ,2026-01-07 10:46:00,MIDDAY (10:30-15:00),SELL,621.5,621.61,0.11,0.07,2.12,80,STOP_OUT,0.0,-1.0,621.5,0,0,0,True
QQQ,2026-01-07 11:34:00,MIDDAY (10:30-15:00),BUY,622.08,621.99,0.09,0.06,4.91,100,REVERSAL,3.0,1.5,622.35,0,0,0,False
QQQ,2026-01-07 12:03:00,MIDDAY (10:30-15:00),BUY,622.55,622.44,0.11,0.08,3.55,100,REVERSAL,0.82,0.41,622.64,1,1,1,False
QQQ,2026-01-07 12:11:00,MIDDAY (10:30-15:00),BUY,622.76,622.62,0.14,0.09,2.12,70,STOP_OUT,0.21,-1.0,622.79,0,0,0,True
QQQ,2026-01-07 12:55:00,MIDDAY (10:30-15:00),SELL,622.37,622.49,0.12,0.08,3.47,100,REVERSAL,0.58,0.29,622.3,0,0,0,False
QQQ,2026-01-07 12:56:00,MIDDAY (10:30-15:00),SELL,622.32,622.43,0.11,0.07,3.12,95,STOP_OUT,0.09,-1.0,622.31,0,0,0,True
QQQ,2026-01-07 13:00:00,MIDDAY (10:30-15:00),BUY,623.42,623.1,0.32,0.21,61.83,95,STOP_OUT,0.0,-1.0,623.42,0,0,0,True
QQQ,2026-01-07 14:05:00,MIDDAY (10:30-15:00),SELL,622.49,622.68,0.19,0.13,5.6,100,REVERSAL,0.74,0.37,622.35,0,0,0,False
QQQ,2026-01-07 14:06:00,MIDDAY (10:30-15:00),SELL,622.44,622.63,0.19,0.13,3.37,93,STOP_OUT,0.11,-1.0,622.42,0,0,0,True
QQQ,2026-01-07 14:23:00,MIDDAY (10:30-15:00),SELL,622.49,622.64,0.15,0.1,3.17,95,REVERSAL,0.73,0.37,622.38,0,0,0,False
QQQ,2026-01-07 14:29:00,MIDDAY (10:30-15:00),BUY,623.02,622.79,0.23,0.15,2.28,73,STOP_OUT,0.0,-1.0,623.02,0,0,0,True
QQQ,2026-01-07 15:28:00,CLOSE (15:00-16:00),BUY,624.97,624.43,0.54,0.36,2.01,80,REVERSAL,0.7,0.35,625.35,3,3,3,False
QQQ,2026-01-07 15:38:00,CLOSE (15:00-16:00),SELL,624.05,624.63,0.58,0.39,4.28,100,REVERSAL,0.91,0.46,623.52,0,0,0,False
QQQ,2026-01-08 09:46:00,MORNING (9:45-10:30),SELL,622.2,622.37,0.17,0.11,2.1,80,STOP_OUT,0.35,-1.0,622.14,0,0,0,True
QQQ,2026-01-08 09:55:00,MORNING (9:45-10:30),BUY,622.42,622.28,0.14,0.1,4.07,100,REVERSAL,1.0,0.5,622.56,2,2,2,False
QQQ,2026-01-08 10:33:00,MIDDAY (10:30-15:00),BUY,622.34,622.18,0.16,0.11,4.03,90,REVERSAL,0.69,0.34,622.45,1,1,1,False
QQQ,2026-01-08 10:43:00,MIDDAY (10:30-15:00),BUY,622.52,622.37,0.15,0.1,3.4,97,STOP_OUT,0.0,-1.0,622.52,0,0,0,True
QQQ,2026-01-08 10:48:00,MIDDAY (10:30-15:00),SELL,622.22,622.35,0.13,0.08,3.86,100,STOP_OUT,0.08,-1.0,622.21,0,0,0,True
QQQ,2026-01-08 12:00:00,MIDDAY (10:30-15:00),SELL,622.35,622.53,0.18,0.12,3.43,100,STOP_OUT,0.0,-1.0,622.35,0,0,0,True
QQQ,2026-01-08 13:30:00,MIDDAY (10:30-15:00),BUY,623.65,623.35,0.3,0.2,2.4,77,STOP_OUT,0.0,-1.0,623.65,0,0,0,True
